Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
275.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
277.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
279.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
283.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.162
287.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.162
291.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.162
293.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.162
295.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
297.99399999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
299.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
301.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
303.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
305.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
309.99199999999996,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
311.997,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
313.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
316.0,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
317.99399999999997,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
319.99300000000005,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
321.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
323.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
325.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
327.992,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
329.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.951
333.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
337.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
340.001,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
342.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
343.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
345.999,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
347.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
349.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
351.992,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
353.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
355.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
357.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.022
359.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
363.993,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
365.99399999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
367.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
369.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
371.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
373.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
377.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
381.99499999999995,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
383.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
385.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
387.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
389.994,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
393.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
395.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
397.995,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
401.993,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
403.995,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
407.995,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
409.995,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
413.995,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
415.996,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
417.999,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
420.00100000000003,259.0,5726.5,177.9,1.234,1.181,64.329,0.952
424.00100000000003,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
425.996,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
427.996,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
432.00100000000003,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
434.00100000000003,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
438.001,259.0,5726.5,177.9,1.234,1.181,64.329,1.021
440.001,259.0,5726.5,177.9,1.234,1.181,64.329,1.021
444.001,259.0,5726.5,177.9,1.234,1.181,64.329,1.021
446.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.021
448.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.021
451.995,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
453.99899999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
455.99899999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
457.99899999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
459.99899999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
462.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
463.99899999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
466.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
467.99800000000005,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
469.997,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
473.999,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
477.997,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
480.0,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
482.0,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
484.0,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
486.0,259.0,5726.5,177.9,1.234,1.181,64.329,0.986
488.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
490.00100000000003,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
492.002,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
493.996,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
496.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
497.999,259.0,5726.5,177.9,1.234,1.181,64.329,1.127
500.00100000000003,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
502.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
504.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
505.99799999999993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
507.99799999999993,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
509.99899999999997,259.0,5726.5,177.9,1.234,1.181,64.329,1.057
512.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
514.0,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
515.996,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
520.0010000000001,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
521.999,259.0,5726.5,177.9,1.234,1.181,64.329,1.092
523.999,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
526.0,259.0,5726.5,177.9,1.234,1.181,64.329,0.987
528.0,259.0,5726.4,177.9,1.234,1.181,64.329,0.987
530.0010000000001,259.0,5726.4,177.9,1.234,1.181,64.329,0.987
532.001,259.0,5726.4,177.9,1.234,1.181,64.329,0.987
533.996,259.0,5726.4,177.9,1.234,1.181,64.329,0.987
536.0,259.0,5726.4,177.9,1.234,1.181,64.329,0.987
540.0,259.0,5726.4,177.9,1.234,1.181,64.329,0.916
544.001,259.0,5726.4,177.9,1.234,1.181,64.329,0.916
547.999,259.0,5726.4,177.9,1.234,1.181,64.329,0.916
549.999,259.0,5726.4,177.9,1.234,1.181,64.329,1.127
551.999,259.0,5726.4,177.9,1.234,1.181,64.329,1.127
553.999,259.0,5726.4,177.9,1.234,1.181,64.329,1.127
555.999,259.0,5726.4,177.9,1.234,1.181,64.329,1.127
557.998,259.0,5726.4,177.9,1.234,1.181,64.329,1.127
559.999,259.0,5726.4,177.9,1.234,1.18,64.329,1.127
561.997,259.0,5726.4,177.9,1.234,1.18,64.329,1.092
563.999,259.0,5726.4,177.9,1.234,1.18,64.329,1.092
568.001,259.0,5726.4,177.9,1.234,1.18,64.329,1.092
572.0,259.0,5726.4,177.9,1.234,1.18,64.329,1.092
573.998,259.0,5726.4,177.9,1.234,1.18,64.329,1.092
575.998,259.0,5726.4,177.9,1.234,1.18,64.329,0.951
577.998,259.0,5726.4,177.9,1.234,1.18,64.329,0.951
579.999,259.0,5726.4,177.9,1.234,1.18,64.329,0.951
581.999,259.0,5726.4,177.9,1.234,1.18,64.329,0.951
583.999,259.0,5726.4,177.9,1.234,1.181,64.329,0.951
585.999,259.0,5726.4,177.9,1.234,1.181,64.329,0.951
590.0,259.0,5726.4,177.9,1.234,1.181,64.329,1.057
594.0,259.0,5726.4,177.9,1.234,1.181,64.329,1.057
596.0,259.0,5726.4,177.9,1.234,1.181,64.329,1.057
598.0,259.0,5726.4,177.9,1.234,1.181,64.329,1.057
599.9989999999999,259.0,5726.4,177.9,1.234,1.181,64.329,0.81
602.0,259.0,5726.4,177.9,1.234,1.181,64.329,0.81
604.0,259.0,5726.4,177.9,1.234,1.181,64.329,0.81
606.0,259.0,5726.4,177.6,1.234,1.181,64.329,0.81
607.996,259.0,5726.4,177.6,1.234,1.181,64.329,0.81
609.996,259.0,5726.4,177.6,1.234,1.181,64.329,0.81
614.0,259.0,5726.4,177.6,1.234,1.181,64.329,0.634
617.9989999999999,258.9,5726.7,177.6,1.234,1.181,64.329,0.634
620.0,258.9,5726.7,177.2,1.234,1.181,64.329,0.634
622.0,258.9,5726.7,177.2,1.234,1.182,64.329,0.634
623.999,258.9,5726.7,177.2,1.234,1.182,64.329,0.634
625.999,258.9,5726.7,177.2,1.234,1.182,64.329,1.268
627.999,258.8,5726.7,177.2,1.234,1.182,64.329,1.268
629.999,258.8,5726.8,177.2,1.234,1.182,64.329,1.268
634.0,258.8,5726.8,177.1,1.234,1.182,64.329,1.268
635.996,258.8,5726.8,177.1,1.234,1.181,64.329,1.268
639.999,258.8,5726.8,177.1,1.234,1.181,64.329,1.409
641.9979999999999,259.1,5726.8,177.1,1.234,1.181,64.329,1.409
644.0010000000001,259.1,5726.3,177.1,1.234,1.181,64.329,1.409
646.0,259.1,5726.3,177.1,1.234,1.181,64.329,1.409
648.0,259.1,5726.3,177.1,1.234,1.181,64.329,1.409
650.0,259.1,5726.3,177.1,1.234,1.181,64.329,1.409
651.995,259.1,5726.3,177.1,1.234,1.181,64.329,1.339
653.9979999999999,259.1,5726.3,177.1,1.234,1.181,64.329,1.339
655.996,259.1,5726.3,177.1,1.234,1.181,64.329,1.339
657.995,259.1,5726.3,177.1,1.234,1.181,64.329,1.339
661.9979999999999,259.1,5726.3,177.1,1.234,1.181,64.329,1.339
665.9979999999999,259.1,5726.3,177.1,1.234,1.181,64.33,1.338
667.9929999999999,259.1,5726.3,177.1,1.234,1.181,64.33,1.338
669.9929999999999,259.1,5726.4,177.2,1.234,1.181,64.33,1.338
671.994,259.1,5726.4,177.2,1.234,1.181,64.33,1.338
673.9929999999999,259.1,5726.4,177.2,1.234,1.181,64.33,1.338
675.994,259.1,5726.4,177.2,1.234,1.181,64.33,1.338
677.9929999999999,259.1,5726.4,177.2,1.234,1.181,64.33,1.55
679.994,259.1,5726.4,177.2,1.234,1.181,64.33,1.55
681.9929999999999,259.1,5726.4,177.2,1.234,1.181,64.33,1.55
684.001,259.1,5726.4,177.4,1.234,1.181,64.33,1.55
688.001,259.1,5726.4,177.4,1.234,1.181,64.329,1.55
692.001,259.1,5726.4,177.4,1.234,1.181,64.329,1.269
694.001,259.1,5726.2,177.4,1.234,1.181,64.329,1.269
696.001,259.1,5726.2,177.6,1.234,1.181,64.329,1.269
698.001,259.1,5726.2,177.6,1.233,1.181,64.329,1.269
700.001,259.1,5726.2,177.6,1.233,1.181,64.329,1.269
702.001,259.1,5726.2,177.6,1.233,1.181,64.329,1.269
704.001,259.1,5726.2,177.6,1.233,1.181,64.329,1.233
706.001,259.0,5726.2,177.6,1.233,1.181,64.329,1.233
709.999,259.0,5726.2,177.7,1.233,1.181,64.329,1.233
713.999,259.0,5726.2,177.7,1.233,1.181,64.329,1.233
715.999,259.0,5726.2,177.7,1.233,1.181,64.329,1.303
717.999,259.1,5726.2,177.7,1.233,1.181,64.329,1.303
719.998,259.1,5726.2,177.7,1.233,1.181,64.329,1.303
722.0,259.1,5726.2,177.8,1.233,1.181,64.329,1.303
723.9989999999999,259.1,5726.2,177.8,1.233,1.181,64.329,1.303
726.0,259.1,5726.2,177.8,1.233,1.181,64.329,1.303
