Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
432.442,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
434.424,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
436.459,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
438.438,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
440.436,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
442.428,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
446.527,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
450.738,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
452.76800000000003,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
455.87699999999995,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
459.901,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
461.877,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
463.874,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.303
465.87800000000004,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.303
467.89799999999997,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.303
469.87800000000004,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.303
471.874,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.303
473.899,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.303
477.87600000000003,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.198
479.87600000000003,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.198
483.923,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.198
485.965,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.198
487.954,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.198
490.043,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
492.092,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
494.093,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
496.095,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
498.09700000000004,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
502.07900000000006,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
504.148,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
506.08699999999993,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
508.077,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
512.0949999999999,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
514.092,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
516.0930000000001,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
518.095,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
520.092,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
522.08,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
524.087,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
526.101,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
529.1759999999999,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
531.1940000000001,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
534.328,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
536.321,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
